holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
Columbus Day,-0.4032480657182067,-0.22692487194935929,0.0,-0.5826540860453889,Clouds,few clouds,2012-10-08 00:00:00,-1.4220194986073438
Veterans Day,0.7550830667715616,-0.22692487194935929,0.0,1.0990600733243177,Clear,sky is clear,2012-11-12 00:00:00,0.4661874843059903
Thanksgiving Day,0.01726310339044811,-0.22692487194935929,0.0,-0.5826540860453889,Mist,mist,2012-11-22 00:00:00,0.1855548868454764
Christmas Day,-1.0717530012242693,-0.22692487194935929,0.0,1.174360707325946,Clouds,overcast clouds,2012-12-25 00:00:00,-0.21633870951772866
New Years Day,-1.141838196075709,-0.22692487194935929,0.0,0.37115394464190726,Clouds,broken clouds,2013-01-01 00:00:00,1.9871468705426025
Washingtons Birthday,-1.4907238363801423,-0.22692487194935929,0.0,-0.5826540860453889,Clouds,few clouds,2013-02-18 00:00:00,-1.0720949017738637
Memorial Day,0.6203038459034039,-0.22692487194935929,0.0,1.174360707325946,Clouds,overcast clouds,2013-05-27 00:00:00,-0.008462711398829488
Independence Day,0.9060357941438967,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2013-07-04 00:00:00,0.6740634824248894
State Fair,1.471338354813772,-0.22692487194935929,0.0,-0.7834557767163987,Clouds,few clouds,2013-08-22 00:00:00,-0.70831190506579
Labor Day,0.8059140872132643,-0.22692487194935929,0.0,-1.0846583127229132,Clear,Sky is Clear,2013-09-02 00:00:00,0.6082360830205714
Columbus Day,-0.045890588673488115,-0.22692487194935929,0.0,-1.0846583127229132,Clear,Sky is Clear,2013-10-14 00:00:00,-0.8676835036236127
Veterans Day,-0.22148865929029013,-0.22692487194935929,0.0,0.5217552126451646,Clouds,broken clouds,2013-11-11 00:00:00,-1.2176081004570931
Thanksgiving Day,-0.7760088822907095,-0.22692487194935929,0.0,0.5217552126451646,Clouds,broken clouds,2013-11-28 00:00:00,0.2202008865319596
Christmas Day,-1.3975336322370133,0.6861633331239201,0.0,0.5217552126451646,Rain,light rain,2013-12-25 00:00:00,-0.5316173066647257
New Years Day,-2.1700111095556567,-0.22692487194935929,0.0,1.174360707325946,Clouds,overcast clouds,2014-01-01 00:00:00,1.8347044719220764
Martin Luther King Jr Day,-0.5025996056724459,-0.22692487194935929,0.0,0.5217552126451646,Clouds,broken clouds,2014-01-20 00:00:00,-1.3354044993911358
Washingtons Birthday,-0.8376222404018682,-0.22692487194935929,0.0,1.174360707325946,Clouds,overcast clouds,2014-02-17 00:00:00,-0.9785507026203589
Memorial Day,1.231816425156645,-0.22692487194935929,0.0,-0.08064985936786463,Clouds,scattered clouds,2014-05-26 00:00:00,0.35185568534059575
Independence Day,0.8382611002216234,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2015-07-03 00:00:00,0.3241388855914092
State Fair,0.7435305621257212,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2015-08-27 00:00:00,-0.9023295033100959
Labor Day,1.286498280480296,-0.22692487194935929,0.0,1.174360707325946,Clouds,overcast clouds,2015-09-07 00:00:00,0.3726432851524857
Columbus Day,1.1324648852024013,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2015-10-12 00:00:00,-1.2869000998300595
Veterans Day,0.3877134190337846,-0.22692487194935929,0.0,0.797857537317803,Clouds,broken clouds,2015-11-11 00:00:00,-1.0617011018679186
Thanksgiving Day,-0.08439893749296175,-0.22692487194935929,0.0,1.174360707325946,Mist,mist,2015-11-26 00:00:00,-0.11240071045827907
Thanksgiving Day,-0.08439893749296175,-0.22692487194935929,0.0,1.174360707325946,Haze,haze,2015-11-26 00:00:00,-0.11240071045827907
Christmas Day,-0.710544689297607,-0.22692487194935929,0.0,1.174360707325946,Snow,light snow,2015-12-25 00:00:00,0.09893988762926842
New Years Day,-0.953147286860289,-0.22692487194935929,0.0,1.174360707325946,Haze,haze,2016-01-01 00:00:00,2.243527268222578
New Years Day,-0.953147286860289,-0.22692487194935929,0.0,1.174360707325946,Snow,light snow,2016-01-01 00:00:00,2.243527268222578
Washingtons Birthday,-0.998587138467266,-0.22692487194935929,0.0,1.174360707325946,Mist,mist,2016-02-15 00:00:00,-0.2787015089533984
Memorial Day,0.7751074081576872,-0.22692487194935929,0.0,-1.0595581013890372,Mist,mist,2016-05-30 00:00:00,0.7502846817351525
Independence Day,0.8960236234508339,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2016-07-04 00:00:00,0.8646164807005471
State Fair,0.9630281503967183,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2016-08-25 00:00:00,-0.7290995048776799
Labor Day,1.1440173898482462,5.32465141489618,0.0,1.174360707325946,Rain,moderate rain,2016-09-05 00:00:00,0.6879218822994827
Labor Day,1.1440173898482462,5.32465141489618,0.0,1.174360707325946,Thunderstorm,proximity thunderstorm,2016-09-05 00:00:00,0.6879218822994827
Columbus Day,0.3100035711160857,-0.22692487194935929,0.0,-1.0846583127229132,Clear,Sky is Clear,2016-10-10 00:00:00,-1.3215460995165427
Veterans Day,0.28066020931564456,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2016-11-11 00:00:00,-1.0166613022754905
Thanksgiving Day,-0.3062070266931339,-0.22692487194935929,0.0,0.797857537317803,Mist,mist,2016-11-24 00:00:00,-0.35492270826366146
Christmas Day,-0.17219797280136495,-0.22692487194935929,0.0,1.174360707325946,Rain,light rain,2016-12-26 00:00:00,-0.46232530729175936
Christmas Day,-0.17219797280136495,-0.22692487194935929,0.0,1.174360707325946,Mist,mist,2016-12-26 00:00:00,-0.46232530729175936
New Years Day,-0.5927091419100153,-0.22692487194935929,0.0,1.174360707325946,Snow,light snow,2017-01-02 00:00:00,-0.23366170936097025
Martin Luther King Jr Day,-0.9423649491908375,-0.22692487194935929,0.0,-1.0595581013890372,Mist,mist,2017-01-16 00:00:00,-0.5801217062258022
Martin Luther King Jr Day,-0.9423649491908375,-0.22692487194935929,0.0,-1.0595581013890372,Haze,haze,2017-01-16 00:00:00,-0.5801217062258022
Washingtons Birthday,0.5193349552987457,-0.22692487194935929,0.0,0.6221560579806694,Clouds,broken clouds,2017-02-20 00:00:00,-0.8191791040625362
Memorial Day,0.5817954970839303,-0.22692487194935929,0.0,-0.08064985936786463,Clouds,scattered clouds,2017-05-29 00:00:00,2.330142267438786
Independence Day,1.162501397281594,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2017-07-04 00:00:00,1.2457224772518622
State Fair,0.8759992820647082,-0.22692487194935929,0.0,1.174360707325946,Rain,light rain,2017-08-24 00:00:00,-0.7221703049403833
Labor Day,1.3265469632525515,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2017-09-04 00:00:00,0.5562670834908466
Columbus Day,0.4855246250352462,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2017-10-09 00:00:00,-1.0963471015544017
Veterans Day,-1.2812384188022037,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2017-11-10 00:00:00,-0.18515730979989378
Thanksgiving Day,-0.49104710102660554,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2017-11-23 00:00:00,1.5887178741480459
Christmas Day,-1.5685107009954784,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2017-12-25 00:00:00,0.7849306814216357
New Years Day,-2.2300841337140334,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2018-01-01 00:00:00,2.122266269319887
Martin Luther King Jr Day,-1.215004058832708,-0.22692487194935929,0.0,1.174360707325946,Snow,light snow,2018-01-15 00:00:00,-0.9196525031533376
Martin Luther King Jr Day,-1.215004058832708,-0.22692487194935929,0.0,1.174360707325946,Mist,mist,2018-01-15 00:00:00,-0.9196525031533376
Martin Luther King Jr Day,-1.215004058832708,-0.22692487194935929,0.0,1.174360707325946,Haze,haze,2018-01-15 00:00:00,-0.9196525031533376
Washingtons Birthday,-0.5842373051697302,-0.22692487194935929,0.0,-0.5826540860453889,Clouds,few clouds,2018-02-19 00:00:00,-0.8399667038744262
Memorial Day,1.6305318688334764,-0.22692487194935929,0.0,-0.4822532407098841,Clouds,few clouds,2018-05-28 00:00:00,0.7710722815470424
Independence Day,1.4813505255068347,-0.22692487194935929,0.0,-1.0595581013890372,Mist,mist,2018-07-04 00:00:00,0.538944083647605
State Fair,0.8243980946466124,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2018-08-23 00:00:00,-0.9335109030279308
Labor Day,1.0870250335954244,0.6861633331239201,0.0,-1.0595581013890372,Rain,light rain,2018-09-03 00:00:00,0.33453268549735415
Labor Day,1.0870250335954244,0.6861633331239201,0.0,-1.0595581013890372,Mist,mist,2018-09-03 00:00:00,0.33453268549735415
